Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\win32kbase.sys

File Type: EXECUTABLE IMAGE

  Section contains the following exports for win32kbase.sys

    00000000 characteristics
    C70CD32F time date stamp
        0.00 version
           1 ordinal base
        2493 number of functions
        2493 number of names

    ordinal hint RVA      name

        133   7C 001D15E0 ?GreEngLoadModuleAllocListLock@@3PEAUHSEMAPHORE__@@EA
        134   7D 0004C120 ?HandleDirectStartStopDeviceReadRequest@CHidInput@@QEAAXXZ
        135   7E 00097310 ?HandleTSRequest@CBaseInput@@QEAAXW4InputTSRequest@@@Z
        136   7F 0014CFD0 ?HasForeground@CForegroundInfo@@QEAA_NAEBVCInputDest@@@Z
        137   80 00135520 ?HighContrastHotKey@@YAHPEAUtagKE@@KH@Z
        139   81 001A94E8 ?INVALID_MONITOR_HANDLE@OPM@@3QEAXEA
        140   82 000410B0 ?IncrementClientReferenceCount@PDEV@@QEAAXXZ
        141   83 0014DFB0 ?IncrementWaiters@CInpLockGuard@@QEAAXXZ
        142   84 0009FD70 ?Initialize@LegacyInputDispatcher@@QEAAJD_NIIPEAPEAX@Z
        143   85 0006CCF0 ?Initialize@SfmTokenArray@@QEAAXXZ
        144   86 00090CD0 ?InitializeSensor@CBaseInput@@QEAAJXZ
        145   87 000A9960 ?IsDestroyed@CMonitorPDO@OPM@@UEAAEXZ
        147   88 000E8340 ?IsImplicit@CompositionInputObject@@QEBAHXZ
        148   89 00142D80 ?IsPointerMessageTouchpad@CTouchProcessor@@QEAAHPEAUtagTHREADINFO@@_KG@Z
        149   8A 00142E60 ?IsPointerMsgRedirected@CTouchProcessor@@QEAAH_KPEAH@Z
        150   8B 00142F30 ?IsPointerPrimary@CTouchProcessor@@QEAAH_K@Z
        151   8C 00142F80 ?IsPointerWindowFrameMessage@CTouchProcessor@@QEAAH_KPEAUHWND__@@I_JH@Z
        152   8D 00134DF0 ?IsRawMouseSubscriber@CInputDest@@QEBA_NXZ
        153   8E 00080550 ?IsTimeFromLastInputEvent@CInputGlobals@@QEBA_NK@Z
        154   8F 0014DFC0 ?LeaveGuard@CInpLockGuard@@QEAAXXZ
        155   90 0009DCD0 ?LeaveGuardOnThreadTermination@CInpLockGuard@@QEAAXXZ
        156   91 00086240 ?Lock@CMutex@OPM@@QEAAXXZ
