Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\win32kfull.sys

File Type: EXECUTABLE IMAGE

  Section contains the following exports for win32kfull.sys

    00000000 characteristics
    521ECAF6 time date stamp
        0.00 version
           1 ordinal base
        2345 number of functions
        2345 number of names

    ordinal hint RVA      name

        380  16E 0005BB70 FreePointerDevice
        381  16F 001D9F30 FreePointerDeviceCalData
        382  170 001D4110 FreePointerDeviceCalibrationInfo
        383  171 00102320 FreeProcessMessageFilter
        384  172 001F6380 FreeSMS
        385  173 0005D220 FreeThreadsWinEvents
        386  174 000F13A0 FreeThreadsWindowHooks
        387  175 000C8270 FreeTimer
        388  176 0000C170 FreeWindowStation
        389  177 00100A10 FreezeThawTimers
        390  178 001273E0 GatherDeviceInfoSummaryInformation
        391  179 000D1D50 GdiMultiUserFontCleanup
        392  17A 000FFF90 GdiThreadCalloutFlushUserBatch
        393  17B 001080C0 GetAppCompatFlags
        394  17C 00018D50 GetAppCompatFlags2
        395  17D 00101A50 GetAppCompatFlags2QuadWord
        396  17E 000242B0 GetClassPtr
        397  17F 00118DE0 GetColorManagementCapsWrap
        398  180 00005CA0 GetDbgTagFlags
        399  181 001F6CC0 GetDefaultPTPConfiguration
        400  182 0011E2F0 GetDesktopHeapSize
        401  183 0005F540 GetDesktopView
        402  184 000DD590 GetDpiSetting
        403  185 000DD5B0 GetDpiSettingWithNoDefault
        404  186 0012C340 GetInputSensorThreadingModel
        405  187 001E0B80 GetInputTransformList
        406  188 000515B0 GetJournallingQueue
        407  189 000808B0 GetLayeredOrRedirectedParent
        408  18A 0012CCB0 GetMAPPER_SignatureTable
        409  18B 0012CCA0 GetMaxGdiHandleCount
        410  18C 0012C890 GetMaxOpenRetries
        411  18D 001CF070 GetMiPInputTransform
        412  18E 0012C6C0 GetNineGridRenderingData
        413  18F 001C2D90 GetPTPShellTarget
        414  190 0027B750 GetPanCopyBits
        415  191 001DA100 GetPenArbitrationType
        416  192 001F6D10 GetPenHoldTime
        417  193 0012A350 GetPowerTransitionsState
        418  194 00080910 GetRedirectionBitmap
        419  195 00005CA0 GetRipFlags
        420  196 0012CB40 GetSMSLookaside
        421  197 0003B210 GetStyleWindow
        422  198 001F6D50 GetTouchHoldTime
        423  199 00005CA0 GetUndimSourceInputTypeMask
        424  19A 001DA130 GetUserHandedness
        425  19B 00005CA0 GetWakeSourceInputTypeMask
        426  19C 00008990 GetWin8StyleDpiSettingFromRegistry
        427  19D 0012CC90 GetgForceFontAssocCodePage
        428  19E 0012CC80 GetgSystemAnsiCodePage
        429  19F 0012CC70 GetgSystemOemCodePage
        430  1A0 0012BB70 GetgbFinishDefGUIFontInit
        431  1A1 001CCEA0 GetgfSwitchInProgress
        432  1A2 0012B9D0 GetghsemEnableEUDC
        433  1A3 0012CB60 GetglpSetupPrograms
        434  1A4 0012CC60 GetgpBmpDev
        435  1A5 0012CC50 GetgpDefITable
        436  1A6 00257710 GetgpPFTDeviceWrap
        437  1A7 00118AF0 GetgpPublicObjectList
        438  1A8 0012CC40 GetgpRedirDev
        439  1A9 0012CB80 GetgpastrSetupExe
        440  1AA 0012CC20 GetgpfmffTable
        441  1AB 0012CC30 GetgpfsTable
        442  1AC 0012C7B0 GetgpniFontsDirectoryAndScratch
        443  1AD 0012C900 GetgptoWrap
        444  1AE 0012CB20 GetgpwszFamilyDefaultFonts
        445  1AF 0012CBA0 GetguiKeyboardCorrectionCalloutTimeout
        446  1B0 0012CC10 GetgvsStateWrap
        447  1B1 0012CBC0 GetpbwlCache
        448  1B2 00114CE0 GreDeleteClientObj
        449  1B3 0026B9C0 GreDeleteWnd
        450  1B4 00253AA0 GreDwmDesktopOverlaysEnabled
        451  1B5 00277A40 GreEnsureDpiDepDefaultGuiFontForPlateau
        452  1B6 00088BA0 GreFlush
        453  1B7 0026F730 GreGetAspectRatioFilter
        454  1B8 00073FF0 GreGetRandomRgn
        455  1B9 000DA350 GreHidePointer
        456  1BA 00122460 GreHideSprites
        457  1BB 000752E0 GreHintDCWnd
        458  1BC 000B6860 GreIsCurrentProcessSystemCritical
        459  1BD 00078D00 GreMovePointer
        460  1BE 00250C80 GrePolyBezier
        461  1BF 001354D0 GrePolyBezierTo
        462  1C0 001358E0 GrePolyPolygon
        463  1C1 00131C50 GrePolyPolyline
        464  1C2 00135220 GrePolylineTo
        465  1C3 0008D180 GreSelectFont
        466  1C4 00075480 GreSelectRedirectionBitmap
        467  1C5 0007FD50 GreSetBitmapBits
        468  1C6 0012CA70 GreWaitForTextReady
        469  1C7 00128E90 GrepSfmRemoveSurfaces
        470  1C8 00244F20 HT_ComputeRGBGammaTable
        471  1C9 001188E0 HT_DestroyDeviceHalftoneInfoWrap
        472  1CA 00245250 HT_Get8BPPFormatPalette
        473  1CB 00144830 HT_Get8BPPMaskPalette
        474  1CC 0000A280 HandleDisplayChangeForInactiveDesktops
        475  1CD 0014D1B0 HandlePTPTelemetry
        476  1CE 000688C0 HasHidTable
        477  1CF 001E0BD0 HasInputTransform
        478  1D0 0025BB90 HeapVidMemAllocAligned
        479  1D1 001C35C0 IAMKeyAcquired
        480  1D2 00124510 InitClipFormatExceptionList
        481  1D3 0012B0E0 InitClipboardILDef
        482  1D4 0012A1D0 InitDwmInputProcessing
        483  1D5 000DE260 InitFNTCache
        484  1D6 0036E6F0 InitFunctionTables
        485  1D7 00129C40 InitKeyboardState
        486  1D8 0036DCC0 InitMessageTables
        487  1D9 00129EA0 InitModuleAllocations
        488  1DA 0036EB10 InitOLEFormats
          9  1DB 0012C2F0 InitPlaySound
        489  1DC 00063DE0 InitProcessSystemDpi
        490  1DD 0012AFE0 InitRotationManager
        491  1DE 0036EE70 InitSMSLookaside
        492  1DF 0012B440 InitTimerCoalescing
        493  1E0 00123730 InitializeEditionAutoLogger
        494  1E1 0012C9F0 InitializeFeedbackData
        495  1E2 0012C7E0 InitializeGdiCrossSessionGlobals
        496  1E3 0012C5C0 InitializeHidRequestList
        497  1E4 00129530 InitializeMediaChange
        498  1E5 00005CA0 InitializeNavigationWindowRegistry
        499  1E6 000C7570 InitializePointerDevicesPresenceState
        500  1E7 0012C610 InitializePointerPrediction
        501  1E8 0011F330 InitializeTouchPadSysParams
        502  1E9 0012A610 InitializeWin32CrossSessionGlobals
        503  1EA 0012B320 InitializeWin32PoolTracking
        504  1EB 001274D0 InitializeWin32kFullTelemetryAsserts
        505  1EC 000F5580 InkProcessorIsInkDevice
        506  1ED 001F93C0 InkProcessorOnPointerMessagePosted
        507  1EE 000F57A0 InkProcessorOnThreadExit
        508  1EF 001E0C00 InputTransformOnInput
        509  1F0 00005CA0 IsAccessPTPEnabledStatusSupported
        510  1F1 00005CA0 IsAddMagnificationOutputTransformSupported
        511  1F2 00005CA0 IsAdjustLinearitySupported
        512  1F3 00005CA0 IsAllocateCvrSupported
        513  1F4 00005CA0 IsAllocateW32ProcessSupported
        514  1F5 00005CA0 IsApplyGatheredDeviceInfoSummaryInformationSupported
        515  1F6 00005CA0 IsApplyMagInputTransformSupported
        516  1F7 00005CA0 IsApplyPTPTranslationSupported
        517  1F8 00005CA0 IsAutoRotationUpdateRegistrySupported
        518  1F9 00005CA0 IsBuildHwndListSupported
        519  1FA 00005CA0 IsCachePTPInertiaInfoSupported
        520  1FB 00005CA0 IsCacheRotationInfoSupported
        521  1FC 00005CA0 IsCalcVisRgnSupported
        522  1FD 00005CA0 IsCalcWindowsFullScreenSupported
        523  1FE 00005CA0 IsCanForceForegroundSupported
        524  1FF 00005CA0 IsCheckAllowForegroundSupported
        525  200 00005CA0 IsCheckCursorClipAccessSupported
        526  201 00005CA0 IsCheckSessionPoolAllocationsSupported
        527  202 00005CA0 IsCheckWinstaAttributeAccessSupported
        528  203 00005CA0 IsCheckupHidLeakSupported
        529  204 00005CA0 IsCitGetWindowInfoSupported
        530  205 00005CA0 IsCleanupDesktopsMonitorsAndWindowsSnapShotSupported
        531  206 00005CA0 IsCleanupDwmInputProcessingSupported
        532  207 00005CA0 IsCleanupFeedbackDataSupported
        533  208 00005CA0 IsCleanupHLSURFSupported
        534  209 00005CA0 IsCleanupHidRequestListSupported
        535  20A 00005CA0 IsCleanupIAMAccessSupported
        536  20B 00005CA0 IsCleanupInjectedTouchProcessSupported
        537  20C 00005CA0 IsCleanupMediaChangeSupported
        538  20D 00005CA0 IsCleanupModuleAllocationsSupported
        539  20E 00005CA0 IsCleanupOEMBitmapsSupported
        540  20F 00005CA0 IsCleanupPlaySoundSupported
        541  210 00005CA0 IsCleanupW32ThreadLocksSupported
        542  211 00005CA0 IsClearDelegationCaptureSupported
        543  212 00005CA0 IsClientCallDitThreadSupported
        544  213 00005CA0 IsCompositionInputThreadSupported
        545  214 00005CA0 IsCreateBitmapStripSupported
        546  215 00005CA0 IsCreateInputContextSupported
        547  216 00005CA0 IsCreatePhysicalMonitorSupported
        548  217 00005CA0 IsCreateSetupNameArraySupported
        549  218 000767E0 IsCurrentDesktopComposed
        550  219 00005CA0 IsDCELogicalSpeedTopLevelHitTestSupported
        551  21A 00005CA0 IsDDCCICleanUpSupported
