Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntoskrnl.exe

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ntoskrnl.exe

    00000000 characteristics
    DF7CEC78 time date stamp
        0.00 version
           1 ordinal base
        2894 number of functions
        2887 number of names

    ordinal hint RVA      name

       1039  407 0011A400 KeGetClockOwner
       1040  408 00289CE0 KeGetClockTimerResolution
       1041  409 0003AF00 KeGetCurrentIrql
       1042  40A 0010CCD0 KeGetCurrentNodeNumber
       1043  40B 000AD3E0 KeGetCurrentProcessorNumberEx
       1044  40C 00031110 KeGetCurrentThread
       1045  40D 0009F440 KeGetEffectiveIrql
       1046  40E 00289D00 KeGetNextClockTickDuration
       1047  40F 000247C0 KeGetProcessorIndexFromNumber
       1048  410 00088F90 KeGetProcessorNumberFromIndex
       1049  411 000F3AD0 KeGetRecommendedSharedDataAlignment
       1050  412 0017D2C0 KeGetXSaveFeatureFlags
       1051  413 009D4880 KeHwPolicyLocateResource
       1052  414 000A73B0 KeInitializeAffinityEx
       1053  415 00021AC0 KeInitializeApc
       1054  416 0027E120 KeInitializeCrashDumpHeader
       1055  417 000F40A0 KeInitializeDeviceQueue
       1056  418 00023760 KeInitializeDpc
       1057  419 000A7660 KeInitializeEnumerationContext
       1058  41A 0028E670 KeInitializeEnumerationContextFromAffinity
       1059  41B 001750E0 KeInitializeEnumerationContextFromGroup
       1060  41C 00030AF0 KeInitializeEvent
       1061  41D 00135B30 KeInitializeGuardedMutex
       1062  41E 00171510 KeInitializeInterrupt
       1063  41F 000F4B30 KeInitializeMutant
       1064  420 000F4B10 KeInitializeMutex
       1065  421 0011EB60 KeInitializeQueue
       1066  422 00842580 KeInitializeSecondaryInterruptServices
       1067  423 00021B40 KeInitializeSemaphore
       1068  424 00021B60 KeInitializeSpinLock
       1069  425 0017BCE0 KeInitializeThreadedDpc
       1070  426 00022D60 KeInitializeTimer
       1071  427 000EF510 KeInitializeTimer2
       1072  428 00021750 KeInitializeTimerEx
       1073  429 0028D660 KeInitializeTriageDumpDataArray
       1074  42A 002900F0 KeInsertByKeyDeviceQueue
       1075  42B 002901A0 KeInsertDeviceQueue
       1076  42C 002906A0 KeInsertHeadQueue
       1077  42D 000F4590 KeInsertQueue
       1078  42E 000C8040 KeInsertQueueApc
       1079  42F 0009FAE0 KeInsertQueueDpc
       1080  430 00176500 KeInterlockedClearProcessorAffinityEx
       1081  431 00175DB0 KeInterlockedSetProcessorAffinityEx
       1082  432 001756E0 KeInvalidateAllCaches
       1083  433 002907F0 KeInvalidateRangeAllCaches
       1084  434 00093850 KeInvalidateRangeAllCachesNoIpi
       1085  435 00173FC0 KeIpiGenericCall
       1086  436 0009B010 KeIsAttachedProcess
       1087  437 000A6E80 KeIsEmptyAffinityEx
       1088  438 00189050 KeIsEqualAffinityEx
       1089  439 00117090 KeIsExecutingDpc
       1090  43A 00137CF0 KeIsSingleGroupAffinityEx
       1091  43B 00289800 KeIsSubsetAffinityEx
       1092  43C 008413A0 KeIsWaitListEmpty
       1093  43D 0053F8A4 KeLastBranchMSR
       1094  43E 000332E0 KeLeaveCriticalRegion
       1095  43F 000D2340 KeLeaveGuardedRegion
       1096  440 0056C4C0 KeLoadMTRR
       1097  441 00540988 KeLoaderBlock
       1098  442 0003ACF0 KeLowerIrql
       1099  443 00174E90 KeNotifyProcessorFreezeSupported
       1100  444 0053F44B KeNumberProcessors
       1101  445 00119330 KeOrAffinityEx
       1102  446 002909B0 KePrepareToDispatchVirtualProcessor
       1103  447 00129E30 KeProcessorGroupAffinity
       1104  448 00290E80 KeProfileInterruptWithSource
       1105  449 000E6000 KePulseEvent
       1106  44A 000F82F0 KeQueryActiveGroupCount
       1107  44B 001890F0 KeQueryActiveProcessorAffinity
       1108  44C 0028B130 KeQueryActiveProcessorCount
       1109  44D 0009FF90 KeQueryActiveProcessorCountEx
       1110  44E 0028B1C0 KeQueryActiveProcessors
       1111  44F 0028A330 KeQueryAuxiliaryCounterFrequency
       1112  450 00108620 KeQueryDpcWatchdogInformation
       1113  451 0013E790 KeQueryEffectivePriorityThread
       1114  452 0012D890 KeQueryGroupAffinity
       1115  453 00289860 KeQueryGroupAffinityEx
       1116  454 00842AC0 KeQueryHardwareCounterConfiguration
       1117  455 00289350 KeQueryHeteroCpuPolicyThread
       1118  456 000F8300 KeQueryHighestNodeNumber
       1119  457 000A8480 KeQueryInterruptTimePrecise
       1120  458 00118BE0 KeQueryLogicalProcessorRelationship
       1121  459 00021B80 KeQueryMaximumGroupCount
       1122  45A 0028B1D0 KeQueryMaximumProcessorCount
       1123  45B 00023B00 KeQueryMaximumProcessorCountEx
       1124  45C 000F8650 KeQueryNodeActiveAffinity
       1125  45D 0016B790 KeQueryNodeMaximumProcessorCount
       1126  45E 001340C0 KeQueryPrcbAddress
       1127  45F 000FC210 KeQueryPriorityThread
       1128  460 00135310 KeQueryRuntimeThread
       1129  461 00021C50 KeQuerySystemTimePrecise
       1130  462 0013C0A0 KeQueryTimeIncrement
       1131  463 00045FF0 KeQueryTotalCycleTimeThread
       1132  464 0010A080 KeQueryUnbiasedInterruptTime
       1133  465 0013A4E0 KeQueryUnbiasedInterruptTimePrecise
       1134  466 0012F860 KeRaiseIrqlToDpcLevel
       1135  467 0028BAD0 KeRaiseUserException
       1136  468 0010F420 KeReadStateEvent
       1137  469 0010F420 KeReadStateMutant
       1138  46A 0010F420 KeReadStateMutex
       1139  46B 0010F420 KeReadStateQueue
       1140  46C 0010F420 KeReadStateSemaphore
       1141  46D 0028BAC0 KeReadStateTimer
       1142  46E 001B1560 KeReenterRetpolinedCode
       1143  46F 0028A4F0 KeRegisterBoundCallback
       1144  470 0018EF80 KeRegisterBugCheckCallback
       1145  471 001706B0 KeRegisterBugCheckReasonCallback
       1146  472 0028A560 KeRegisterNmiCallback
       1147  473 0074DAE0 KeRegisterProcessorChangeCallback
       1148  474 00035110 KeReleaseGuardedMutex
       1149  475 00288500 KeReleaseGuardedMutexUnsafe
       1150  476 0000B400 KeReleaseInStackQueuedSpinLock
       1151  477 0028C100 KeReleaseInStackQueuedSpinLockForDpc
       1152  478 000F07D0 KeReleaseInStackQueuedSpinLockFromDpcLevel
       1153  479 0012D850 KeReleaseInterruptSpinLock
       1154  47A 0003E0D0 KeReleaseMutant
       1155  47B 001131D0 KeReleaseMutex
       1156  47C 000D6D40 KeReleaseQueuedSpinLock
       1157  47D 00044580 KeReleaseSemaphore
       1158  47E 000FEAE0 KeReleaseSpinLock
       1159  47F 0028C180 KeReleaseSpinLockForDpc
       1160  480 000A7AE0 KeReleaseSpinLockFromDpcLevel
       1161  481 00290220 KeRemoveByKeyDeviceQueue
       1162  482 002902F0 KeRemoveByKeyDeviceQueueIfBusy
       1163  483 002903C0 KeRemoveDeviceQueue
       1164  484 00290450 KeRemoveEntryDeviceQueue
       1165  485 00289880 KeRemoveGroupAffinityEx
       1166  486 000AC0F0 KeRemoveProcessorAffinityEx
       1167  487 001225E0 KeRemoveProcessorGroupAffinity
       1168  488 00130EA0 KeRemoveQueue
       1169  489 000F2E40 KeRemoveQueueDpc
       1170  48A 000F2E60 KeRemoveQueueDpcEx
       1171  48B 000273E0 KeRemoveQueueEx
       1172  48C 00841D00 KeRemoveSystemServiceTable
       1173  48D 0028F330 KeReportCacheIncoherentDevice
       1174  48E 000D4F80 KeResetEvent
       1175  48F 00129C60 KeRestoreExtendedProcessorState
       1176  490 00020CF0 KeRestoreFloatingPointState
       1177  491 002895A0 KeRevertToUserAffinityThread
       1178  492 002895F0 KeRevertToUserAffinityThreadEx
       1179  493 000C7630 KeRevertToUserGroupAffinityThread
       1180  494 0011A750 KeRundownQueue
       1181  495 00128940 KeSaveExtendedProcessorState
       1182  496 00020CF0 KeSaveFloatingPointState
       1183  497 001B8FB0 KeSaveStateForHibernate
       1184  498 000C2ED0 KeSetActualBasePriorityThread
       1185  499 0010FDF0 KeSetAffinityThread
       1186  49A 000C3300 KeSetBasePriorityThread
       1187  49B 00046D10 KeSetCoalescableTimer
       1188  49C 00174E90 KeSetDmaIoCoherency
       1189  49D 000411C0 KeSetEvent
       1190  49E 0028E5A0 KeSetEventBoostPriority
       1191  49F 00842B10 KeSetHardwareCounterConfiguration
       1192  4A0 00289690 KeSetHeteroCpuPolicyThread
       1193  4A1 0015C670 KeSetIdealProcessorThread
       1194  4A2 00175DA0 KeSetImportanceDpc
       1195  4A3 00117980 KeSetKernelStackSwapEnable
       1196  4A4 00841D90 KeSetLastBranchRecordInUse
       1197  4A5 000C3800 KeSetPriorityThread
       1198  4A6 009DD410 KeSetProfileIrql
       1199  4A7 00291D20 KeSetSelectedCpuSetsThread
       1200  4A8 00191230 KeSetSystemAffinityThread
       1201  4A9 00191250 KeSetSystemAffinityThreadEx
       1202  4AA 000C1E10 KeSetSystemGroupAffinityThread
       1203  4AB 0028F520 KeSetTargetProcessorDpc
       1204  4AC 00133A70 KeSetTargetProcessorDpcEx
       1205  4AD 00046A30 KeSetTimer
       1206  4AE 000A8EB0 KeSetTimer2
       1207  4AF 00044B80 KeSetTimerEx
       1208  4B0 000B04F0 KeShouldYieldProcessor
       1209  4B1 00132C30 KeSignalCallDpcDone
       1210  4B2 0028F590 KeSignalCallDpcSynchronize
       1211  4B3 000D1EB0 KeStackAttachProcess
       1212  4B4 00292620 KeStallWhileFrozen
       1213  4B5 008424D0 KeStartDynamicProcessor
       1214  4B6 000A8DB0 KeSubtractAffinityEx
       1215  4B7 00140A80 KeSweepLocalCaches
       1216  4B8 001B9440 KeSynchronizeExecution
       1217  4B9 001580F0 KeSynchronizeTimeToQpc
       1218  4BA 0028F350 KeSystemFullyCacheCoherent
       1219  4BB 00020170 KeTestAlertThread
       1220  4BC 0010C3A0 KeTestSpinLock
       1221  4BD 000CD0C0 KeTryToAcquireGuardedMutex
       1222  4BE 0028BCA0 KeTryToAcquireQueuedSpinLock
       1223  4BF 0028BD70 KeTryToAcquireQueuedSpinLockRaiseToSynch
       1224  4C0 00119B30 KeTryToAcquireSpinLockAtDpcLevel
       1225  4C1 000D1FF0 KeUnstackDetachProcess
       1226  4C2 0013CE50 KeUpdateThreadTag
       1227  4C3 005DCDE0 KeUserModeCallback
       1228  4C4 000286B0 KeWaitForMultipleObjects
       1229  4C5 000297D0 KeWaitForMutexObject
       1230  4C6 000297D0 KeWaitForSingleObject
       1231  4C7 005799A0 KeWriteProtectPAT
       1232  4C8 0003AED0 KfRaiseIrql
       1233  4C9 0041E560 KiBugCheckData
       1234  4CA 000CC510 KiCheckForKernelApcDelivery
       1235  4CB 00319AB0 KitLogFeatureUsage
       1236  4CC 007151B0 KseQueryDeviceData
       1237  4CD 008458C0 KseQueryDeviceDataList
       1238  4CE 00715560 KseQueryDeviceFlags
       1239  4CF 0071E8D0 KseRegisterShim
       1240  4D0 0071E8F0 KseRegisterShimEx
       1241  4D1 00845AE0 KseSetDeviceFlags
       1242  4D2 008462E0 KseUnregisterShim
       1243  4D3 0074A9B0 LdrAccessResource
       1244  4D4 0088F1E0 LdrEnumResources
       1245  4D5 0088F490 LdrFindResourceDirectory_U
       1246  4D6 0088F4B0 LdrFindResourceEx_U
       1247  4D7 0074A9D0 LdrFindResource_U
       1248  4D8 0070FDF0 LdrResFindResource
       1249  4D9 00712060 LdrResFindResourceDirectory
       1250  4DA 005E45E0 LdrResSearchResource
       1251  4DB 0053E268 LpcPortObjectType
       1252  4DC 00847E30 LpcReplyWaitReplyPort
       1253  4DD 0058F4A0 LpcRequestPort
       1254  4DE 006CDDE0 LpcRequestWaitReplyPort
       1255  4DF 0066D050 LpcRequestWaitReplyPortEx
       1256  4E0 00847E50 LpcSendWaitReceivePort
       1257  4E1 0089A140 LsaCallAuthenticationPackage
       1258  4E2 006FAEE0 LsaDeregisterLogonProcess
       1259  4E3 0065DD30 LsaFreeReturnBuffer
       1260  4E4 0089A1F0 LsaLogonUser
       1261  4E5 00703570 LsaLookupAuthenticationPackage
       1262  4E6 00703500 LsaRegisterLogonProcess
       1263  4E7 0053F44D Mm64BitPhysicalAddress
       1264  4E8 0084BD60 MmAddPhysicalMemory
       1265  4E9 0084BF00 MmAddVerifierSpecialThunks
       1266  4EA 0084C000 MmAddVerifierThunks
       1267  4EB 0018D550 MmAdjustWorkingSetSize
       1268  4EC 002A3DA0 MmAdvanceMdl
       1269  4ED 002A4680 MmAllocateContiguousMemory
       1270  4EE 001910F0 MmAllocateContiguousMemorySpecifyCache
       1271  4EF 00191120 MmAllocateContiguousMemorySpecifyCacheNode
       1272  4F0 000B1680 MmAllocateContiguousNodeMemory
       1273  4F1 006EB3D0 MmAllocateMappingAddress
       1274  4F2 002A4CD0 MmAllocateMdlForIoSpace
       1275  4F3 00190A60 MmAllocateNodePagesForMdlEx
       1276  4F4 0084C100 MmAllocateNonCachedMemory
       1277  4F5 00175D30 MmAllocatePagesForMdl
       1278  4F6 000B9AB0 MmAllocatePagesForMdlEx
       1279  4F7 000B9B10 MmAllocatePartitionNodePagesForMdlEx
       1280  4F8 0013E570 MmAreMdlPagesCached
       1281  4F9 0053F3C8 MmBadPointer
       1282  4FA 000FD9A0 MmBuildMdlForNonPagedPool
       1283  4FB 000EC7D0 MmCanFileBeTruncated
       1284  4FC 00625630 MmChangeImageProtection
       1285  4FD 00666DD0 MmCommitSessionMappedView
       1286  4FE 000BE790 MmCopyMemory
       1287  4FF 005C9A50 MmCopyVirtualMemory
       1288  500 00120530 MmCreateMdl
       1289  501 0084C930 MmCreateMirror
       1290  502 0063ACC0 MmCreateSection
       1291  503 0011BAC0 MmDisableModifiedWriteOfSection
       1292  504 0010E6C0 MmDoesFileHaveUserWritableReferences
       1293  505 0011EC50 MmFlushImageSection
       1294  506 0011ED70 MmForceSectionClosed
       1295  507 0029EBD0 MmForceSectionClosedEx
       1296  508 000B0C50 MmFreeContiguousMemory
       1297  509 0013E260 MmFreeContiguousMemorySpecifyCache
       1298  50A 006EE7E0 MmFreeMappingAddress
       1299  50B 0084C2E0 MmFreeNonCachedMemory
       1300  50C 000B5ED0 MmFreePagesFromMdl
       1301  50D 002A58A0 MmFreePagesFromMdlEx
       1302  50E 002A4E00 MmGetCacheAttribute
       1303  50F 006FAEA0 MmGetMaximumFileSectionSize
       1304  510 0011E350 MmGetPhysicalAddress
       1305  511 0074F490 MmGetPhysicalMemoryRanges
       1306  512 0074F4B0 MmGetPhysicalMemoryRangesEx
       1307  513 00603080 MmGetSectionInformation
       1308  514 006BF6B0 MmGetSystemRoutineAddress
       1309  515 002A4EC0 MmGetVirtualForPhysical
       1310  516 002A6940 MmGrowKernelStack
       1311  517 0035D2F0 MmHighestUserAddress
       1312  518 002A6C50 MmIsAddressValid
       1313  519 0091F650 MmIsDriverSuspectForVerifier
       1314  51A 00133C40 MmIsDriverVerifying
       1315  51B 0074F930 MmIsDriverVerifyingByAddress
       1316  51C 002A7020 MmIsIoSpaceActive
       1317  51D 002A6C70 MmIsNonPagedSystemAddressValid
       1318  51E 000186C0 MmIsRecursiveIoFault
       1319  51F 000F3810 MmIsThisAnNtAsSystem
       1320  520 0091F490 MmIsVerifierEnabled
       1321  521 0084D360 MmLoadSystemImage
       1322  522 00625530 MmLockPagableDataSection
       1323  523 00625530 MmLockPagableImageSection
       1324  524 005A9830 MmLockPagableSectionByHandle
       1325  525 006D2160 MmLockPreChargedPagedPool
       1326  526 000B2A70 MmMapIoSpace
       1327  527 000B2AB0 MmMapIoSpaceEx
       1328  528 002A4A90 MmMapLockedPages
       1329  529 000A1B20 MmMapLockedPagesSpecifyCache
       1330  52A 0018D140 MmMapLockedPagesWithReservedMapping
       1331  52B 002A8B00 MmMapMdl
       1332  52C 002A9910 MmMapMemoryDumpMdl
       1333  52D 00564150 MmMapUserAddressesToPage
       1334  52E 000B2A70 MmMapVideoDisplay
       1335  52F 006C41E0 MmMapViewInSessionSpace
       1336  530 006C4210 MmMapViewInSessionSpaceEx
       1337  531 006C37A0 MmMapViewInSystemSpace
       1338  532 006C3760 MmMapViewInSystemSpaceEx
       1339  533 006309C0 MmMapViewOfSection
       1340  534 002A26B0 MmMarkPhysicalMemoryAsBad
       1341  535 002A2D50 MmMarkPhysicalMemoryAsGood
       1342  536 00119BC0 MmMdlPageContentsState
       1343  537 0012FCB0 MmMdlPagesAreZero
       1344  538 0073C520 MmObtainChargesToLockPagedPool
       1345  539 005E8940 MmPageEntireDriver
       1346  53A 005EBBF0 MmPrefetchPages
       1347  53B 005EB210 MmPrefetchVirtualAddresses
       1348  53C 0005BEB0 MmProbeAndLockPages
       1349  53D 0060BE30 MmProbeAndLockProcessPages
       1350  53E 000B5F30 MmProbeAndLockSelectedPages
       1351  53F 002A4F10 MmProtectMdlSystemAddress
       1352  540 00176D70 MmQuerySystemSize
       1353  541 0084BDC0 MmRemovePhysicalMemory
       1354  542 005E8810 MmResetDriverPaging
       1355  543 0084D6B0 MmReturnChargesToLockPagedPool
       1356  544 005E6280 MmRotatePhysicalView
       1357  545 0053F3B0 MmSectionObjectType
       1358  546 00664E80 MmSecureVirtualMemory
       1359  547 0012E990 MmSetAddressRangeModified
       1360  548 0013C750 MmSetBankedSection
       1361  549 0084E970 MmSetGraphicsPtes
       1362  54A 0084D3C0 MmSetPermanentCacheAttribute
       1363  54B 000B4F40 MmSizeOfMdl
       1364  54C 0035D2D8 MmSystemRangeStart
       1365  54D 002AF5C0 MmTrimAllSystemPagableMemory
       1366  54E 00702D40 MmUnloadSystemImage
       1367  54F 000194F0 MmUnlockPagableImageSection
       1368  550 0004ED80 MmUnlockPages
       1369  551 006D32E0 MmUnlockPreChargedPagedPool
       1370  552 000B0EB0 MmUnmapIoSpace
       1371  553 0004F700 MmUnmapLockedPages
       1372  554 002A4AC0 MmUnmapReservedMapping
       1373  555 000B0EB0 MmUnmapVideoDisplay
       1374  556 006C37E0 MmUnmapViewInSessionSpace
       1375  557 006C4040 MmUnmapViewInSystemSpace
       1376  558 0058C640 MmUnmapViewOfSection
       1377  559 005D2BF0 MmUnsecureVirtualMemory
       1378  55A 0035D2E8 MmUserProbeAddress
       1379  55B 0096C614 NlsAnsiCodePage
       1380  55C 00906F98 NlsLeadByteInfo
       1381  55D 0096C502 NlsMbCodePageTag
       1382  55E 0096C500 NlsMbOemCodePageTag
       1383  55F 0096C610 NlsOemCodePage
       1384  560 00906F90 NlsOemLeadByteInfo
       1385  561 008D5670 NtAddAtom
       1386  562 006320E0 NtAdjustPrivilegesToken
       1387  563 006613C0 NtAllocateLocallyUniqueId
       1388  564 0068AEC0 NtAllocateUuids
       1389  565 005CE380 NtAllocateVirtualMemory
       1390  566 0090E3C0 NtBuildGUID
       1391  567 00435400 NtBuildLab
       1392  568 00370138 NtBuildNumber
       1393  569 005C8440 NtClose
       1394  56A 00191E70 NtCommitComplete
       1395  56B 00191E90 NtCommitEnlistment
       1396  56C 00191EB0 NtCommitTransaction
       1397  56D 00692690 NtCompareSigningLevels
       1398  56E 005868F0 NtConnectPort
       1399  56F 00191ED0 NtCreateEnlistment
       1400  570 005D8870 NtCreateEvent
       1401  571 0062C3A0 NtCreateFile
       1402  572 00191EF0 NtCreateResourceManager
       1403  573 005CC1A0 NtCreateSection
       1404  574 00191F10 NtCreateTransaction
       1405  575 00191F30 NtCreateTransactionManager
       1406  576 00581980 NtDeleteAtom
       1407  577 00702F80 NtDeleteFile
       1408  578 005C9500 NtDeviceIoControlFile
       1409  579 00608370 NtDuplicateObject
       1410  57A 00598950 NtDuplicateToken
       1411  57B 00191F50 NtEnumerateTransactionObject
       1412  57C 005A84D0 NtFindAtom
       1413  57D 005E71A0 NtFreeVirtualMemory
       1414  57E 00191F70 NtFreezeTransactions
       1415  57F 00667970 NtFsControlFile
       1416  580 008D2BA0 NtGetEnvironmentVariableEx
       1417  581 00191F90 NtGetNotificationResourceManager
       1418  582 004353E0 NtGlobalFlag
       1419  583 0090C6A8 NtImageInfo
       1420  584 0061E940 NtLockFile
       1421  585 006C9940 NtMakePermanentObject
       1422  586 00595170 NtMapViewOfSection
       1423  587 0067E6D0 NtNotifyChangeDirectoryFile
       1424  588 0067E730 NtNotifyChangeDirectoryFileEx
       1425  589 00191FB0 NtOpenEnlistment
       1426  58A 0062C330 NtOpenFile
       1427  58B 005D8840 NtOpenProcess
       1428  58C 00675630 NtOpenProcessToken
       1429  58D 005D8BB0 NtOpenProcessTokenEx
       1430  58E 00191FD0 NtOpenResourceManager
       1431  58F 005B0AA0 NtOpenThread
       1432  590 005980E0 NtOpenThreadToken
       1433  591 00598100 NtOpenThreadTokenEx
       1434  592 00191FF0 NtOpenTransaction
       1435  593 00192010 NtOpenTransactionManager
       1436  594 00192030 NtPrePrepareComplete
       1437  595 00192050 NtPrePrepareEnlistment
       1438  596 00192070 NtPrepareComplete
       1439  597 00192090 NtPrepareEnlistment
       1440  598 001920B0 NtPropagationComplete
       1441  599 001920D0 NtPropagationFailed
       1442  59A 0067AD20 NtQueryDirectoryFile
       1443  59B 006204A0 NtQueryDirectoryFileEx
       1444  59C 00672B40 NtQueryEaFile
       1445  59D 008D34B0 NtQueryEnvironmentVariableInfoEx
       1446  59E 006743D0 NtQueryInformationAtom
       1447  59F 001920F0 NtQueryInformationEnlistment
       1448  5A0 005D68F0 NtQueryInformationFile
       1449  5A1 006032D0 NtQueryInformationProcess
       1450  5A2 00192110 NtQueryInformationResourceManager
       1451  5A3 005CB6B0 NtQueryInformationThread
       1452  5A4 005A4C30 NtQueryInformationToken
       1453  5A5 00192130 NtQueryInformationTransaction
       1454  5A6 00192150 NtQueryInformationTransactionManager
       1455  5A7 0081CFD0 NtQueryQuotaInformationFile
       1456  5A8 005A4140 NtQuerySecurityAttributesToken
       1457  5A9 00664A40 NtQuerySecurityObject
       1458  5AA 005B4060 NtQuerySystemInformation
       1459  5AB 006732A0 NtQuerySystemInformationEx
       1460  5AC 0061F370 NtQueryVolumeInformationFile
       1461  5AD 005EDA10 NtReadFile
       1462  5AE 00192170 NtReadOnlyEnlistment
       1463  5AF 00192190 NtRecoverEnlistment
       1464  5B0 001921B0 NtRecoverResourceManager
       1465  5B1 001921D0 NtRecoverTransactionManager
       1466  5B2 00684810 NtRequestPort
       1467  5B3 0066D090 NtRequestWaitReplyPort
       1468  5B4 001921F0 NtRollbackComplete
       1469  5B5 00192210 NtRollbackEnlistment
       1470  5B6 00192230 NtRollbackTransaction
       1471  5B7 00899880 NtSetCachedSigningLevel
       1472  5B8 0081C970 NtSetEaFile
       1473  5B9 005CB4A0 NtSetEvent
       1474  5BA 00192250 NtSetInformationEnlistment
       1475  5BB 000A9CD0 NtSetInformationFile
       1476  5BC 00605EC0 NtSetInformationProcess
       1477  5BD 00192270 NtSetInformationResourceManager
       1478  5BE 005DD8A0 NtSetInformationThread
       1479  5BF 005826D0 NtSetInformationToken
       1480  5C0 00192290 NtSetInformationTransaction
       1481  5C1 005D52B0 NtSetInformationVirtualMemory
       1482  5C2 0081D700 NtSetQuotaInformationFile
       1483  5C3 0066E2D0 NtSetSecurityObject
       1484  5C4 006F1B20 NtSetVolumeInformationFile
       1485  5C5 008CC1B0 NtShutdownSystem
       1486  5C6 001922B0 NtThawTransactions
       1487  5C7 005A1A10 NtTraceControl
       1488  5C8 00014000 NtTraceEvent
       1489  5C9 006654A0 NtUnlockFile
       1490  5CA 00694BF0 NtVdmControl
       1491  5CB 005B79C0 NtWaitForSingleObject
       1492  5CC 0061F830 NtWriteFile
       1493  5CD 00702C40 ObAssignSecurity
       1494  5CE 0059C660 ObCheckCreateObjectAccess
       1495  5CF 00601870 ObCheckObjectAccess
       1496  5D0 005A9190 ObCloseHandle
       1497  5D1 00584190 ObCreateObject
       1498  5D2 0071EE90 ObCreateObjectType
       1499  5D3 006AA360 ObDeleteCapturedInsertInfo
       1500  5D4 001269E0 ObDereferenceObject
       1501  5D5 0003F720 ObDereferenceObjectDeferDelete
       1502  5D6 0003E070 ObDereferenceObjectDeferDeleteWithTag
       1503  5D7 0059A580 ObDereferenceSecurityDescriptor
       1504  5D8 00608530 ObDuplicateObject
       1505  5D9 0065DA40 ObFindHandleForObject
       1506  5DA 008608C0 ObGetFilterVersion
       1507  5DB 006F3480 ObGetObjectSecurity
       1508  5DC 0067E660 ObGetObjectType
       1509  5DD 0063AC70 ObInsertObject
       1510  5DE 00751D20 ObIsDosDeviceLocallyMapped
       1511  5DF 002CDF50 ObIsKernelHandle
       1512  5E0 0059AFE0 ObLogSecurityDescriptor
       1513  5E1 005F16A0 ObMakeTemporaryObject
       1514  5E2 006A8420 ObOpenObjectByName
       1515  5E3 005C1530 ObOpenObjectByNameEx
       1516  5E4 005D9320 ObOpenObjectByPointer
       1517  5E5 0085F800 ObOpenObjectByPointerWithTag
       1518  5E6 00679960 ObQueryNameInfo
       1519  5E7 0061C190 ObQueryNameString
       1520  5E8 00661DF0 ObQueryObjectAuditingByHandle
       1521  5E9 005C6750 ObReferenceObjectByHandle
       1522  5EA 006056B0 ObReferenceObjectByHandleWithTag
       1523  5EB 00599F10 ObReferenceObjectByName
       1524  5EC 001366B0 ObReferenceObjectByPointer
       1525  5ED 0009CAD0 ObReferenceObjectByPointerWithTag
       1526  5EE 00109C30 ObReferenceObjectSafe
       1527  5EF 00035400 ObReferenceObjectSafeWithTag
       1528  5F0 00683DC0 ObReferenceSecurityDescriptor
       1529  5F1 0074E9A0 ObRegisterCallbacks
       1530  5F2 0059A550 ObReleaseObjectSecurity
       1531  5F3 00655C30 ObSetHandleAttributes
       1532  5F4 00599BA0 ObSetSecurityDescriptorInfo
       1533  5F5 0059BEB0 ObSetSecurityObjectByPointer
       1534  5F6 008608D0 ObUnRegisterCallbacks
       1535  5F7 0062ABC0 ObWaitForMultipleObjects
       1536  5F8 00711F20 ObWaitForSingleObject
       1537  5F9 00032020 ObfDereferenceObject
       1538  5FA 00035450 ObfDereferenceObjectWithTag
       1539  5FB 000320F0 ObfReferenceObject
       1540  5FC 000042B0 ObfReferenceObjectWithTag
       1541  5FD 004D9788 POGOBuffer
       1542  5FE 0065F2C0 PcwAddInstance
       1543  5FF 0065E130 PcwCloseInstance
       1544  600 0065E170 PcwCreateInstance
       1545  601 00702BE0 PcwRegister
       1546  602 008D5750 PcwUnregister
       1547  603 000D8BA0 PfFileInfoNotify
       1548  604 008907F0 PfxFindPrefix
       1549  605 008908D0 PfxInitialize
       1550  606 008908F0 PfxInsertPrefix
       1551  607 00890A10 PfxRemovePrefix
       1552  608 001749A0 PoCallDriver
       1553  609 0013C750 PoCancelDeviceNotify
       1554  60A 00130280 PoClearPowerRequest
       1555  60B 0013D070 PoCpuIdledSinceLastCallImprecise
       1556  60C 006F36E0 PoCreatePowerRequest
       1557  60D 0073B940 PoCreateThermalRequest
       1558  60E 005F2310 PoDeletePowerRequest
       1559  60F 00865880 PoDeleteThermalRequest
       1560  610 002D1C60 PoDirectedDripsClearDeviceFlags
       1561  611 002D1CB0 PoDirectedDripsSetDeviceFlags
       1562  612 00866E20 PoDisableSleepStates
       1563  613 002D22E0 PoEndDeviceBusy
       1564  614 000043F0 PoEnergyEstimationEnabled
       1565  615 000ACBB0 PoFxActivateComponent
       1566  616 00176A70 PoFxCompleteDevicePowerNotRequired
       1567  617 002D23B0 PoFxCompleteDirectedPowerTransition
       1568  618 0012C3E0 PoFxCompleteIdleCondition
       1569  619 00175B90 PoFxCompleteIdleState
       1570  61A 00867490 PoFxEnableDStateReporting
       1571  61B 000AD810 PoFxIdleComponent
       1572  61C 002D23F0 PoFxIssueComponentPerfStateChange
       1573  61D 002D2420 PoFxIssueComponentPerfStateChangeMultiple
       1574  61E 00156CC0 PoFxNotifySurprisePowerOn
       1575  61F 00157800 PoFxPowerControl
