Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntoskrnl.exe

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ntoskrnl.exe

    00000000 characteristics
    DF7CEC78 time date stamp
        0.00 version
           1 ordinal base
        2894 number of functions
        2887 number of names

    ordinal hint RVA      name

        166   9E 00169FB0 ExAllocateTimer
        167   9F 0010E1B0 ExBlockOnAddressPushLock
        168   A0 0010E260 ExBlockPushLock
        169   A1 000ED460 ExCancelTimer
        170   A2 000E1E80 ExCleanupAutoExpandPushLock
        171   A3 00174E90 ExCleanupRundownProtectionCacheAware
        172   A4 0053E250 ExCompositionObjectType
        173   A5 0011E1A0 ExConvertExclusiveToSharedLite
        174   A6 003162B0 ExConvertFastResourceExclusiveToShared
        175   A7 00314300 ExConvertPushLockExclusiveToShared
        176   A8 0053E260 ExCoreMessagingObjectType
        177   A9 0068F940 ExCreateCallback
        178   AA 00167220 ExDeleteFastResource
        179   AB 00122C40 ExDeleteLookasideListEx
        180   AC 0016B480 ExDeleteNPagedLookasideList
        181   AD 00122BC0 ExDeletePagedLookasideList
        182   AE 0000CE50 ExDeleteResourceLite
        183   AF 000F1040 ExDeleteTimer
        184   B0 0053E248 ExDesktopObjectType
        185   B1 0015DC00 ExDisableResourceBoostLite
        186   B2 00163D00 ExDisownFastResource
        187   B3 000C60A0 ExEnterCriticalRegionAndAcquireFastMutexUnsafe
        188   B4 00034400 ExEnterCriticalRegionAndAcquireResourceExclusive
        189   B5 001093E0 ExEnterCriticalRegionAndAcquireResourceShared
        190   B6 00316C70 ExEnterCriticalRegionAndAcquireSharedWaitForExclusive
        191   B7 00316CB0 ExEnterPriorityRegionAndAcquireResourceExclusive
        192   B8 00038700 ExEnterPriorityRegionAndAcquireResourceShared
        193   B9 0065DAF0 ExEnumHandleTable
        194   BA 008C9830 ExEnumerateSystemFirmwareTables
        195   BB 0053E020 ExEventObjectType
        196   BC 00318000 ExExtendZone
        197   BD 008CCDD0 ExFetchLicenseData
        198   BE 00122C80 ExFlushLookasideListEx
        199   BF 001657C0 ExFreeAutoExpandPushLock
        200   C0 00315FB0 ExFreeCacheAwarePushLock
        201   C1 000F3280 ExFreeCacheAwareRundownProtection
        202   C2 00349780 ExFreePool
        203   C3 00347C60 ExFreePoolWithTag
        204   C4 001170B0 ExGetCurrentProcessorCounts
        205   C5 00314320 ExGetCurrentProcessorCpuUsage
        206   C6 00316D00 ExGetExclusiveWaiterCount
        207   C7 00690140 ExGetFirmwareEnvironmentVariable
        208   C8 00314360 ExGetFirmwareType
        209   C9 008CCF20 ExGetLicenseTamperState
        210   CA 0010CCF0 ExGetPreviousMode
        211   CB 00316D40 ExGetSharedWaiterCount
        212   CC 007542E0 ExGetSystemFirmwareTable
        213   CD 00115AD0 ExInitializeAutoExpandPushLock
        214   CE 00164F70 ExInitializeFastOwnerEntry
        215   CF 0016A250 ExInitializeFastResource
        216   D0 000DC970 ExInitializeLookasideListEx
        217   D1 0015DAA0 ExInitializeNPagedLookasideList
        218   D2 00680CE0 ExInitializePagedLookasideList
        219   D3 00021B60 ExInitializePushLock
        220   D4 00010B80 ExInitializeResourceLite
        221   D5 00021B60 ExInitializeRundownProtection
        222   D6 00645BC0 ExInitializeRundownProtectionCacheAware
        223   D7 00174E90 ExInitializeRundownProtectionCacheAwareEx
        224   D8 00318070 ExInitializeZone
        225   D9 00318230 ExInterlockedAddLargeInteger
        226   DA 0015D990 ExInterlockedAddUlong
        227   DB 003180E0 ExInterlockedExtendZone
        228   DC 001099F0 ExInterlockedInsertHeadList
        229   DD 00109A70 ExInterlockedInsertTailList
        230   DE 00318290 ExInterlockedPopEntryList
        231   DF 003182E0 ExInterlockedPushEntryList
        232   E0 00109AF0 ExInterlockedRemoveHeadList
        233   E1 00316400 ExIsFastResourceContended
        234   E2 00163C70 ExIsFastResourceHeld
        235   E3 00162F60 ExIsFastResourceHeldExclusive
        236   E4 0072D640 ExIsManufacturingModeEnabled
        237   E5 00133180 ExIsProcessorFeaturePresent
        238   E6 00107810 ExIsResourceAcquiredExclusiveLite
        239   E7 00031420 ExIsResourceAcquiredSharedLite
        240   E8 001865D0 ExIsSoftBoot
        241   E9 0015F280 ExLocalTimeToSystemTime
        242   EA 003151F0 ExNotifyBootDeviceRemoval
        243   EB 0013C0D0 ExNotifyCallback
        244   EC 00108ED0 ExQueryDepthSList
        245   ED 00697D70 ExQueryFastCacheDevLicense
        246   EE 00191570 ExQueryPoolBlockSize
        247   EF 00191910 ExQueryTimerResolution
        248   F0 0068E040 ExQueryWnfStateData
        249   F1 00096950 ExQueueWorkItem
        250   F2 008D4B80 ExRaiseAccessViolation
        251   F3 008D4BA0 ExRaiseDatatypeMisalignment
        252   F4 002E8AE0 ExRaiseException
        253   F5 008D4BC0 ExRaiseHardError
        254   F6 00123AD0 ExRaiseStatus
